('14','00110','00169','Потери поездо-часов из-за отказов 3 категории по типу поездов (пассажирские)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-09-01 00:00:00', '20755.8', 'SAS', '8', '1', '1'),
('15','00110','00169','Потери поездо-часов из-за отказов 3 категории по типу поездов (пассажирские)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '44', '2019-09-02 00:00:00', '20831.4', 'SAS', '8', '1', '1'),
('1','00110','00170','Потери поездо-часов из-за отказов 3 категории по типу поездов (пригородные)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '38', '2018-06-01 00:00:00', '154', 'SAS', '8', '1', '1'),
('2','00110','00170','Потери поездо-часов из-за отказов 3 категории по типу поездов (пригородные)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '38', '2018-07-01 00:00:00', '149.032258064516', 'SAS', '8', '1', '1'),
('3','00110','00170','Потери поездо-часов из-за отказов 3 категории по типу поездов (пригородные)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '38', '2018-08-01 00:00:00', '149.032258064516', 'SAS', '8', '1', '1'),
('4','00110','00170','Потери поездо-часов из-за отказов 3 категории по типу поездов (пригородные)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '38', '2018-09-01 00:00:00', '149.032258064516', 'SAS', '8', '1', '1'),
('5','00110','00170','Потери поездо-часов из-за отказов 3 категории по типу поездов (пригородные)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '38', '2018-09-02 00:00:00', '149.032258064516', 'SAS', '8', '1', '1'),
('6','00110','00170','Потери поездо-часов из-за отказов 3 категории по типу поездов (пригородные)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '38', '2018-09-03 00:00:00', '149.032258064516', 'SAS', '8', '1', '1'),
('7','00110','00170','Потери поездо-часов из-за отказов 3 категории по типу поездов (пригородные)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '38', '2018-09-04 00:00:00', '149.032258064516', 'SAS', '8', '1', '1'),
('8','00110','00170','Потери поездо-часов из-за отказов 3 категории по типу поездов (пригородные)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '38', '2018-09-05 00:00:00', '149.032258064516', 'SAS', '8', '1', '1'),
('9','00110','00170','Потери поездо-часов из-за отказов 3 категории по типу поездов (пригородные)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '38', '2018-09-06 00:00:00', '149.032258064516', 'SAS', '8', '1', '1'),
('10','00110','00170','Потери поездо-часов из-за отказов 3 категории по типу поездов (пригородные)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '38', '2018-09-07 00:00:00', '149.032258064516', 'SAS', '8', '1', '1'),
('11','00110','00170','Потери поездо-часов из-за отказов 3 категории по типу поездов (пригородные)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '38', '2019-06-01 00:00:00', '149.032258064516', 'SAS', '8', '1', '1'),
('12','00110','00170','Потери поездо-часов из-за отказов 3 категории по типу поездов (пригородные)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '38', '2019-07-01 00:00:00', '149.032258064516', 'SAS', '8', '1', '1'),
('13','00110','00170','Потери поездо-часов из-за отказов 3 категории по типу поездов (пригородные)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '38', '2019-08-01 00:00:00', '149.032258064516', 'SAS', '8', '1', '1'),
('14','00110','00170','Потери поездо-часов из-за отказов 3 категории по типу поездов (пригородные)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '38', '2019-09-01 00:00:00', '149.032258064516', 'SAS', '8', '1', '1'),
('15','00110','00170','Потери поездо-часов из-за отказов 3 категории по типу поездов (пригородные)', 'поездо-час', '430', '1', '127', '86', '3', '9', '228', '1', '38', '2019-09-02 00:00:00', '149.032258064516', 'SAS', '8', '1', '1')
