('1','12,27,11','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '4', '22', '2018-01-01 00:00:00', '0.00606060606060606', 'SAS', '8', '1', '1'),
('2','','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '4', '22', '2018-04-01 00:00:00', '0.00580808080808081', 'SAS', '8', '1', '1'),
('3','','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '4', '22', '2018-07-01 00:00:00', '0.0119047619047619', 'SAS', '8', '1', '1'),
('4','','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '4', '22', '2018-10-01 00:00:00', '0.00493827160493827', 'SAS', '8', '1', '1'),
('5','','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '7', '22', '2018-01-01 00:00:00', '0.00606060606060606', 'SAS', '8', '1', '1'),
('6','','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '7', '22', '2018-04-01 00:00:00', '0.00580808080808081', 'SAS', '8', '1', '1'),
('7','','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '7', '22', '2018-07-01 00:00:00', '0.0119047619047619', 'SAS', '8', '1', '1'),
('8','12,27,11','00035','Расчетный поправочный коэффициент', 'коэффициент', '90', '51', '127', '86', '2', '29', '228', '7', '22', '2018-10-01 00:00:00', '0.00493827160493827', 'SAS', '8', '1', '1')
