('28','Факт/Среднесуточный/ARM/4 м','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '5', '4', '17', '228', '5', '46', '2018-04-01 00:00:00', '48.6', 'ARM', '8', '1', '1'),
('29','Факт/Среднесуточный/ARM/5 м','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '5', '4', '17', '228', '5', '46', '2018-05-01 00:00:00', '48.2', 'ARM', '8', '1', '1'),
('30','Факт/Среднесуточный/ARM/6 м','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '5', '4', '17', '228', '5', '46', '2018-06-01 00:00:00', '40.78', 'ARM', '8', '1', '1'),
('31','Факт/Среднесуточный/ARM/7 м','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '5', '4', '17', '228', '5', '46', '2018-07-01 00:00:00', '42.46', 'ARM', '8', '1', '1'),
('32','Факт/Среднесуточный/ARM/8 м','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '5', '4', '17', '228', '5', '46', '2018-08-01 00:00:00', '44.14', 'ARM', '8', '1', '1'),
('33','Факт/Среднесуточный/ARM/9 м','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '5', '4', '17', '228', '5', '46', '2018-09-01 00:00:00', '45.82', 'ARM', '8', '1', '1'),
('34','Факт/Среднесуточный/ARM/10 м','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '5', '4', '17', '228', '5', '46', '2018-10-01 00:00:00', '47.5', 'ARM', '8', '1', '1'),
('35','Факт/Среднесуточный/ARM/11 м','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '5', '4', '17', '228', '5', '46', '2018-11-01 00:00:00', '49.18', 'ARM', '8', '1', '1'),
('36','Факт/Среднесуточный/ARM/12 м','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '5', '4', '17', '228', '5', '46', '2018-12-01 00:00:00', '40.86', 'ARM', '8', '1', '1'),
('37','Факт/Среднесуточный/ASRB/1 м','00050','Выполнение расписания движения пассажирских поездов по отправлению', '%', '90', '51', '127', '86', '4', '17', '228', '5', '46', '2019-01-01 00:00:00', '99.7770345596432', 'ASRB', '8', '1', '1'),
('38','Факт/Среднесуточный/ASRB/2 м','00050','Выполнение расписания движения пассажирских поездов по отправлению', '%', '90', '51', '127', '86', '4', '17', '228', '5', '46', '2019-02-01 00:00:00', '99.7630331753554', 'ASRB', '8', '1', '1'),
('39','Факт/Среднесуточный/ASRB/3 м','00050','Выполнение расписания движения пассажирских поездов по отправлению', '%', '90', '51', '127', '86', '4', '17', '228', '5', '46', '2019-03-01 00:00:00', '99.5827984595635', 'ASRB', '8', '1', '1'),
('40','Факт/Среднесуточный/ASRB/4 м','00050','Выполнение расписания движения пассажирских поездов по отправлению', '%', '90', '51', '127', '86', '4', '17', '228', '5', '46', '2019-04-01 00:00:00', '99.5256696428571', 'ASRB', '8', '1', '1'),
('41','Факт/Среднесуточный/ASRB/5 м','00050','Выполнение расписания движения пассажирских поездов по отправлению', '%', '90', '51', '127', '86', '4', '17', '228', '5', '46', '2019-05-01 00:00:00', '99.5549374130737', 'ASRB', '8', '1', '1'),
('42','Факт/Среднесуточный/ASRB/6 м','00050','Выполнение расписания движения пассажирских поездов по отправлению', '%', '90', '51', '127', '86', '4', '17', '228', '5', '46', '2019-06-01 00:00:00', '99.6190476190476', 'ASRB', '8', '1', '1'),
('43','Факт/Среднесуточный/ASRB/7 м','00050','Выполнение расписания движения пассажирских поездов по отправлению', '%', '90', '51', '127', '86', '4', '17', '228', '5', '46', '2019-07-01 00:00:00', '99.4899517309371', 'ASRB', '8', '1', '1'),
('44','Факт/Среднесуточный/ASRB/8 м','00050','Выполнение расписания движения пассажирских поездов по отправлению', '%', '90', '51', '127', '86', '4', '17', '228', '5', '46', '2019-08-01 00:00:00', '99.4479131364649', 'ASRB', '8', '1', '1'),
('45','Факт/Среднесуточный/ASRB/9 м','00050','Выполнение расписания движения пассажирских поездов по отправлению', '%', '90', '51', '127', '86', '4', '17', '228', '5', '46', '2019-09-01 00:00:00', '99.40587454199262', 'ASRB', '8', '1', '1'),
('46','Факт/Среднесуточный/ASRB/10 м','00050','Выполнение расписания движения пассажирских поездов по отправлению', '%', '90', '51', '127', '86', '4', '17', '228', '5', '46', '2019-10-01 00:00:00', '99.3638359475203', 'ASRB', '8', '1', '1'),
('47','Факт/Среднесуточный/ASRB/11 м','00050','Выполнение расписания движения пассажирских поездов по отправлению', '%', '90', '51', '127', '86', '4', '17', '228', '5', '46', '2019-11-01 00:00:00', '99.3217973530481', 'ASRB', '8', '1', '1'),
('48','Факт/Среднесуточный/ASRB/12 м','00050','Выполнение расписания движения пассажирских поездов по отправлению', '%', '90', '51', '127', '86', '4', '17', '228', '5', '46', '2019-12-01 00:00:00', '99.2797587585758', 'ASRB', '8', '1', '1'),
('49','Факт/Среднесуточный/SAS/12 м нет данных за первый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '5', '38', '2018-12-01 00:00:00', '210.69612610410513', 'SAS', '8', '1', '1'),
('50','Факт/Среднесуточный/NSAS/12 м нет данных за 6 и 7 месяц','00007','Участковая скорость', 'км/ч', '90', '51', '75', '86', '4', '17', '228', '5', '54', '2019-12-01 00:00:00', '31.51410613587538', 'NSAS', '8', '1', '1'),
('51','Факт/Среднесуточный/ARM/11 м нет данных за последний месяц','00008','Маршрутная скорость груженых маршрутов', 'км/сут', '319', '92', '127', '86', '4', '17', '228', '5', '14', '2018-11-01 00:00:00', '510.9977045908177', 'ARM', '8', '1', '1')
