('1','','00039','Влияние отклонения факта среднего состава поезда к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '4', '39', '2018-01-01 00:00:00', '-24600', 'SAS', '8', '1', '1'),
('2','','00039','Влияние отклонения факта среднего состава поезда к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '4', '39', '2018-04-01 00:00:00', '-11811', 'SAS', '8', '1', '1'),
('3','','00039','Влияние отклонения факта среднего состава поезда к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '4', '39', '2018-07-01 00:00:00', '-8300', 'SAS', '8', '1', '1'),
('4','','00039','Влияние отклонения факта среднего состава поезда к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '4', '39', '2018-10-01 00:00:00', '-40300', 'SAS', '8', '1', '1'),
('5','','00039','Влияние отклонения факта среднего состава поезда к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '7', '39', '2018-01-01 00:00:00', '-24600', 'SAS', '8', '1', '1'),
('6','','00039','Влияние отклонения факта среднего состава поезда к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '7', '39', '2018-04-01 00:00:00', '-11811', 'SAS', '8', '1', '1'),
('7','','00039','Влияние отклонения факта среднего состава поезда к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '7', '39', '2018-07-01 00:00:00', '-8300', 'SAS', '8', '1', '1'),
('8','','00039','Влияние отклонения факта среднего состава поезда к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '7', '39', '2018-10-01 00:00:00', '-40300', 'SAS', '8', '1', '1')
