('1','','00041','Влияние отклонения факта средней динамической нагрузки на рабочий вагон в грузовом движении к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '4', '39', '2018-01-01 00:00:00', '-461100', 'SAS', '8', '1', '1'),
('2','','00041','Влияние отклонения факта средней динамической нагрузки на рабочий вагон в грузовом движении к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '4', '39', '2018-04-01 00:00:00', '-543243', 'SAS', '8', '1', '1'),
('3','','00041','Влияние отклонения факта средней динамической нагрузки на рабочий вагон в грузовом движении к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '4', '39', '2018-07-01 00:00:00', '-884660', 'SAS', '8', '1', '1'),
('4','','00041','Влияние отклонения факта средней динамической нагрузки на рабочий вагон в грузовом движении к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '4', '39', '2018-10-01 00:00:00', '-6641800', 'SAS', '8', '1', '1'),
('5','','00041','Влияние отклонения факта средней динамической нагрузки на рабочий вагон в грузовом движении к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '7', '39', '2018-01-01 00:00:00', '-461100', 'SAS', '8', '1', '1'),
('6','','00041','Влияние отклонения факта средней динамической нагрузки на рабочий вагон в грузовом движении к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '7', '39', '2018-04-01 00:00:00', '-543243', 'SAS', '8', '1', '1'),
('7','','00041','Влияние отклонения факта средней динамической нагрузки на рабочий вагон в грузовом движении к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '7', '39', '2018-07-01 00:00:00', '-884660', 'SAS', '8', '1', '1'),
('8','','00041','Влияние отклонения факта средней динамической нагрузки на рабочий вагон в грузовом движении к плану на средний вес поезда', 'тонн', '90', '51', '127', '86', '2', '30', '228', '7', '39', '2018-10-01 00:00:00', '-6641800', 'SAS', '8', '1', '1')
